,package_look1,SQ2,package_yes2,home_lh,bk_regularly1,BA4,c6_10_1,c6_3_1,health1,pay,SQ1,h1_9_1,safery_grain1,natural_helpful,A19,effect_job1,effect_rice1,five_nutrient1,h1_6_2,solo_eat1,satisfy1,diet1,rice_helpful1,eat_bk,various_food1,h1_13_1,c6_4_2,h1_2_2,A11_1,SQ7,BA2,BA2_1
94,0,52,1,0,0,1,0,0,1,7,2,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,3,1,4,3
95,0,44,0,0,0,2,0,1,0,10,2,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,4,1,6,7
96,0,70,0,0,1,2,0,1,0,7,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,2,1,4,2
97,0,59,0,0,0,2,0,0,0,4,2,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,3,1,6,4
98,0,45,0,0,0,1,0,0,1,10,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,2,1,6,7
99,0,63,0,0,0,1,0,1,1,4,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,2,1,6,4
100,0,51,0,0,1,1,0,0,1,4,2,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,2,1,5,4
101,0,54,1,0,1,1,0,0,1,6,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,4,1,5,4
102,1,55,1,0,0,1,0,0,1,11,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,4,1,6,4
103,0,50,1,1,1,1,0,0,1,11,2,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,4,1,6,4
104,1,53,1,1,0,1,0,0,1,11,2,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,7,4
105,0,67,1,1,1,2,0,1,1,7,2,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,4,2
106,1,51,1,0,1,2,0,0,0,6,2,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,2,1,4,7
107,1,55,1,1,0,1,0,0,1,11,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,4,1,7,4
108,1,28,0,1,0,1,0,0,1,11,2,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,4,1,7,4
109,1,47,0,0,0,2,0,0,1,4,2,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,2,6,5
110,0,66,0,0,0,2,0,0,0,2,2,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,2,2,2,3
111,1,27,0,1,0,2,0,0,1,11,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,4,1,7,4
112,1,54,0,0,1,1,0,0,1,4,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,4,2,4,4
113,0,19,0,0,0,1,0,1,0,2,1,1,1,0,2,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,4,7
114,0,19,0,0,1,1,0,0,1,4,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,2,2,4,4
115,1,59,0,0,1,2,1,1,0,6,2,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,4,1,4,5
116,0,41,0,1,0,2,0,1,1,7,2,1,1,1,2,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,4,2
117,0,39,0,1,0,2,0,0,0,6,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,4,5
118,0,61,0,0,1,1,0,1,1,6,1,1,1,1,2,1,1,0,1,0,1,0,1,1,1,1,1,0,4,1,4,5
119,0,51,0,1,1,2,0,0,1,2,2,1,1,1,2,1,1,0,1,0,1,0,1,1,1,1,1,0,4,1,3,4
120,1,47,1,0,1,2,0,0,1,4,2,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,4,2,4,4
121,0,62,0,1,0,1,0,0,1,11,2,0,1,1,2,1,0,0,0,0,1,1,1,1,1,0,0,1,4,1,7,4
122,0,49,0,0,1,2,0,0,1,4,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,6,6
123,0,49,0,0,0,1,0,0,1,5,2,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,2,2,3,5
124,0,60,0,1,1,1,0,0,1,4,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,4,1,3,4
125,0,65,0,0,0,1,0,0,1,11,1,0,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,1,4,1,7,4
126,0,35,0,0,1,1,0,0,1,11,1,1,0,0,2,1,0,1,1,0,1,1,1,0,0,1,0,1,4,1,7,4
127,0,22,0,0,0,1,1,1,1,1,2,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,2,3,5
128,1,20,0,0,1,1,0,1,1,3,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,4,7
129,1,48,0,0,1,2,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,4
130,0,49,0,1,1,2,1,1,1,8,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,3,1,5,4
131,0,19,0,0,0,2,0,0,0,5,1,0,0,0,2,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,4,7
132,0,30,0,1,1,2,0,1,1,4,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,4,2,3,4
133,0,51,0,0,0,2,0,0,0,6,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,4,7
134,1,55,0,0,0,1,0,0,1,11,2,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,4,1,7,3
135,1,55,0,0,0,1,0,0,1,11,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,4,1,7,3
136,1,28,0,0,0,1,0,0,1,11,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,4,1,7,3
137,0,69,0,1,1,2,0,0,1,5,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,4,1,3,5
138,1,25,0,0,0,1,0,0,1,11,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,4,1,7,3
139,0,62,0,0,1,1,0,0,0,1,2,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,4,1,3,5
140,0,51,0,1,1,2,0,0,0,3,2,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,2,2,5,3
141,0,45,0,0,1,2,0,1,1,6,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,2,4,2
142,0,52,0,0,1,2,0,0,0,4,1,1,0,1,2,1,0,0,1,0,0,1,0,1,1,1,0,1,2,2,5,3
143,1,31,0,1,1,2,0,0,1,3,2,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,5,4
144,0,32,0,1,0,1,0,0,1,5,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,5,4
145,0,71,0,0,1,2,0,0,1,3,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,2,4
146,0,48,0,0,0,1,0,0,1,6,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,4,1,7,3
147,0,57,0,0,1,1,0,0,1,6,2,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,2,2,8,5
148,1,40,0,0,1,2,0,1,1,4,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,6,7
149,1,43,0,0,1,2,0,1,1,6,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,7
150,0,61,0,0,1,1,0,0,1,7,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,4,2,8,5
151,1,49,0,1,0,1,0,1,1,10,2,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,6,4
152,0,59,0,0,1,2,0,0,1,3,2,1,1,1,2,0,1,1,1,1,1,0,1,1,1,0,1,0,4,1,2,3
153,0,50,0,0,1,2,1,1,1,10,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,6,4
154,0,61,0,0,1,2,0,0,1,3,1,1,1,1,2,0,1,1,1,1,1,0,1,1,1,0,1,0,4,1,2,3
155,1,28,0,0,1,1,0,0,1,9,2,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,4,1,6,3
156,1,51,0,0,1,2,0,1,1,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,7
157,0,61,0,0,1,2,1,0,1,1,2,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,2,4
158,1,68,1,0,1,2,0,0,1,6,2,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,7,3
159,0,36,0,0,0,1,1,0,0,6,2,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,2,1,8,7
160,1,30,0,0,0,1,0,0,1,8,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,3,1,6,3
161,1,54,0,0,1,2,0,1,1,6,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,7
162,0,39,0,0,1,1,0,0,0,6,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,2,1,8,7
163,1,55,0,0,0,1,0,0,1,11,2,1,1,0,2,1,0,1,1,0,1,1,0,1,1,0,0,1,4,1,7,4
164,1,62,0,0,1,2,0,0,1,5,2,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,3,5
165,1,60,0,0,0,1,0,0,1,11,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,0,1,4,1,7,4
166,0,59,0,0,1,2,0,1,0,2,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,3,5
167,0,32,0,0,1,1,0,0,1,11,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,2,1,7,4
168,1,57,0,1,1,2,0,0,0,8,2,1,1,0,2,1,0,0,1,0,1,0,1,1,1,1,1,1,3,1,5,2
169,0,46,0,0,1,1,0,0,1,9,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,1,5,5
170,0,49,0,0,1,1,0,0,1,9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,1,5,5
171,0,62,0,1,1,2,0,0,1,8,1,1,1,1,2,1,0,1,1,0,1,0,1,1,0,0,1,1,2,1,5,2
172,0,53,0,0,1,1,0,0,1,5,2,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,3,1,7,6
173,1,57,0,0,1,2,0,1,1,3,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,3,4
174,0,57,0,0,1,1,0,0,0,7,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,2,1,7,6
175,0,72,0,0,1,2,0,0,0,3,2,1,1,0,2,1,0,0,0,0,1,0,1,1,1,0,1,0,4,1,3,4
176,0,60,0,0,1,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,2,2
177,0,38,0,1,1,2,0,0,1,9,2,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,4,1,5,5
178,0,48,0,0,1,2,0,1,1,1,2,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,2,1,4,4
179,0,66,0,0,1,2,0,1,1,1,2,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,0,4,1,1,2
180,0,41,0,1,0,2,0,0,1,9,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,5,5
181,0,36,0,0,1,1,0,0,1,5,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,2
182,0,70,0,0,1,2,0,0,1,3,1,1,1,0,2,1,1,1,1,0,1,0,1,1,1,1,1,0,4,1,2,2
183,0,69,0,0,1,2,0,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,0,1,0,4,1,1,2
184,0,24,0,0,1,1,0,0,0,1,2,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,3,1,7,6
185,1,54,0,0,0,2,0,0,1,4,2,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,5,3
186,0,30,0,0,1,1,0,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,4,1,5,3
187,0,33,0,0,1,2,0,0,0,4,2,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,6,5
188,0,69,0,0,0,2,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,2
189,1,49,1,0,1,1,0,0,0,1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,4,1,6,10
190,0,34,0,0,1,2,0,0,0,6,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,3,1,6,5
191,0,33,0,0,1,1,0,0,1,4,2,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,2,1,3,3
192,1,21,0,0,0,2,0,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,6,7
193,1,34,0,1,0,2,0,0,1,2,2,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,4,4
194,1,70,0,0,1,2,0,1,1,1,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,3,1,1,2
195,0,63,0,0,1,1,1,0,1,3,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,2,1,5,7
196,1,39,0,1,1,2,0,0,1,4,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,4,4
197,1,34,0,1,1,2,1,0,0,4,2,0,0,0,2,1,1,1,1,0,0,0,0,1,0,0,1,1,1,2,4,6
198,1,61,0,1,0,1,0,1,1,3,2,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,3,1,2,3
199,0,64,0,0,1,1,0,0,1,1,2,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,4,1,3,4
200,1,69,1,0,1,2,0,0,0,3,2,1,1,1,2,1,1,1,1,0,1,0,0,1,0,1,1,0,4,1,2,2
201,0,44,0,1,1,2,0,0,1,3,2,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,4,1,5,6
202,1,36,1,1,0,1,0,0,1,5,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,4,2,4,6
203,0,27,0,1,0,1,0,0,1,5,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,3,4
204,0,54,0,1,0,1,0,0,0,4,2,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,4,2,3,4
205,1,50,0,1,1,2,0,0,1,3,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,1,2,5
